No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|year
1|13/01/2022|Vente|172000,00|11.0|AV|0250|DE L EGLISE|33470.0|GUJAN MESTRAS|33|199||BO|241|21.0|3|3.0|Dépendance|0.0|0.0|2022
1|11/02/2022|Vente|923880,00|1.0|ALL|0058|GEORGES BIZET|33470.0|GUJAN MESTRAS|33|199||CR|165||0|1.0|Maison|188.0|8.0|2022
1|11/02/2022|Vente|923880,00|1.0|ALL|0058|GEORGES BIZET|33470.0|GUJAN MESTRAS|33|199||CR|165||0|3.0|Dépendance|0.0|0.0|2022
1|31/01/2022|Vente|380000,00|3.0|RUE|0310|DES FRERES LARROQUE|33470.0|GUJAN MESTRAS|33|199||BH|33||0|1.0|Maison|50.0|2.0|2022
1|31/01/2022|Vente|380000,00|3.0|RUE|0310|DES FRERES LARROQUE|33470.0|GUJAN MESTRAS|33|199||BH|33||0|4.0|Local industriel. commercial ou assimilé|150.0|0.0|2022
1|25/01/2022|Vente|265000,00||AV|0540|DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BR|712||0|||||2022
1|25/01/2022|Vente|265000,00||AV|0540|DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BR|716||0|||||2022
1|25/01/2022|Vente|265000,00|82.0|AV|0540|DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BR|719||0|1.0|Maison|62.0|3.0|2022
1|25/01/2022|Vente|265000,00||AV|0540|DE MEYRAN|33470.0|GUJAN MESTRAS|33|199||BR|720||0|||||2022
1|04/02/2022|Vente|263000,00|2.0|RES|A044|VILLAS DU GOLF|33470.0|GUJAN MESTRAS|33|199||DR|41|2.0|2|1.0|Maison|60.0|3.0|2022
1|21/01/2022|Vente|225000,00|46.0|BD|0186|DE LA COTE D ARGENT|33470.0|GUJAN MESTRAS|33|199||BL|232|80.0|1|3.0|Dépendance|0.0|0.0|2022
1|21/01/2022|Vente|225000,00|46.0|BD|0186|DE LA COTE D ARGENT|33470.0|GUJAN MESTRAS|33|199||BL|232|33.0|3|3.0|Dépendance|0.0|0.0|2022
1|21/01/2022|Vente|225000,00|46.0|BD|0186|DE LA COTE D ARGENT|33470.0|GUJAN MESTRAS|33|199||BL|232|33.0|3|2.0|Appartement|64.0|3.0|2022
1|03/02/2022|Vente|510000,00|37.0|ALL|0419|JEAN RACINE|33470.0|GUJAN MESTRAS|33|199||CX|196||0|1.0|Maison|114.0|6.0|2022
1|03/02/2022|Vente|510000,00|37.0|ALL|0419|JEAN RACINE|33470.0|GUJAN MESTRAS|33|199||CX|196||0|3.0|Dépendance|0.0|0.0|2022
2|15/02/2022|Vente|585000,00|||B139|MEYRAN|33470.0|GUJAN MESTRAS|33|199||BS|478||0|||||2022
2|15/02/2022|Vente|585000,00|57.0|ALL|0660|DE LA PELOUSE|33470.0|GUJAN MESTRAS|33|199||BS|762||0|3.0|Dépendance|0.0|0.0|2022
2|15/02/2022|Vente|585000,00|57.0|ALL|0660|DE LA PELOUSE|33470.0|GUJAN MESTRAS|33|199||BS|762||0|1.0|Maison|115.0|4.0|2022
2|15/02/2022|Vente|585000,00|57.0|ALL|0660|DE LA PELOUSE|33470.0|GUJAN MESTRAS|33|199||BS|762||0|3.0|Dépendance|0.0|0.0|2022
1|15/02/2022|Vente|182000,00|2.0|RUE|0110|CAMILLE DIGNAC|33470.0|GUJAN MESTRAS|33|199||CA|380|380.0|1|2.0|Appartement|40.0|2.0|2022
1|15/02/2022|Vente|182000,00|2.0|RUE|0110|CAMILLE DIGNAC|33470.0|GUJAN MESTRAS|33|199||CA|380|323.0|1|3.0|Dépendance|0.0|0.0|2022
1|08/02/2022|Vente|193840,00|163.0|ALL|0400|DE HAURAT|33470.0|GUJAN MESTRAS|33|199||CV|151|21.0|2|3.0|Dépendance|0.0|0.0|2022
1|08/02/2022|Vente|193840,00|163.0|ALL|0400|DE HAURAT|33470.0|GUJAN MESTRAS|33|199||CV|151|21.0|2|2.0|Appartement|42.0|2.0|2022
1|25/01/2022|Vente|169500,00|18.0|LOT|A045|VILLAGE DES PINS|33470.0|GUJAN MESTRAS|33|199||DC|216||0|1.0|Maison|30.0|3.0|2022
1|03/02/2022|Vente|279000,00|2.0|RUE|0110|CAMILLE DIGNAC|33470.0|GUJAN MESTRAS|33|199||CA|380|121.0|1|2.0|Appartement|93.0|4.0|2022
